REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/07/01 00:30:00,1646.66,96.47,TRADE
SA1,2021/07/01 01:00:00,1599.55,87.88,TRADE
SA1,2021/07/01 01:30:00,1519.9,102.82,TRADE
SA1,2021/07/01 02:00:00,1468.44,106.60,TRADE
SA1,2021/07/01 02:30:00,1425.32,88.53,TRADE
SA1,2021/07/01 03:00:00,1396.78,85.46,TRADE
SA1,2021/07/01 03:30:00,1344.88,97.92,TRADE
SA1,2021/07/01 04:00:00,1329.74,90.03,TRADE
SA1,2021/07/01 04:30:00,1315.33,92.85,TRADE
SA1,2021/07/01 05:00:00,1321.52,97.55,TRADE
SA1,2021/07/01 05:30:00,1313.84,89.10,TRADE
SA1,2021/07/01 06:00:00,1362.89,102.18,TRADE
SA1,2021/07/01 06:30:00,1417.75,101.81,TRADE
SA1,2021/07/01 07:00:00,1537.28,106.43,TRADE
SA1,2021/07/01 07:30:00,1660.07,110.18,TRADE
SA1,2021/07/01 08:00:00,1768.36,129.91,TRADE
SA1,2021/07/01 08:30:00,1858.97,139.26,TRADE
SA1,2021/07/01 09:00:00,1856.43,117,TRADE
SA1,2021/07/01 09:30:00,1788.73,109,TRADE
SA1,2021/07/01 10:00:00,1672.17,101.20,TRADE
SA1,2021/07/01 10:30:00,1525.88,124.90,TRADE
SA1,2021/07/01 11:00:00,1391.04,124.59,TRADE
SA1,2021/07/01 11:30:00,1259.59,97.57,TRADE
SA1,2021/07/01 12:00:00,1166.06,92.74,TRADE
SA1,2021/07/01 12:30:00,1130.18,76.21,TRADE
SA1,2021/07/01 13:00:00,1121.51,53.91,TRADE
SA1,2021/07/01 13:30:00,1034.56,41.56,TRADE
SA1,2021/07/01 14:00:00,989.32,40.70,TRADE
SA1,2021/07/01 14:30:00,965.95,43.52,TRADE
SA1,2021/07/01 15:00:00,1021.85,80.21,TRADE
SA1,2021/07/01 15:30:00,1058.96,46.15,TRADE
SA1,2021/07/01 16:00:00,1115.21,73.95,TRADE
SA1,2021/07/01 16:30:00,1220.95,115.86,TRADE
SA1,2021/07/01 17:00:00,1415.65,106.38,TRADE
SA1,2021/07/01 17:30:00,1612.7,202.98,TRADE
SA1,2021/07/01 18:00:00,1814.71,176.94,TRADE
SA1,2021/07/01 18:30:00,1972.51,204.08,TRADE
SA1,2021/07/01 19:00:00,1993.11,143.06,TRADE
SA1,2021/07/01 19:30:00,1953.63,88.23,TRADE
SA1,2021/07/01 20:00:00,1926.06,108.51,TRADE
SA1,2021/07/01 20:30:00,1878.61,95.38,TRADE
SA1,2021/07/01 21:00:00,1825.39,94.19,TRADE
SA1,2021/07/01 21:30:00,1760.17,109.10,TRADE
SA1,2021/07/01 22:00:00,1659,83.45,TRADE
SA1,2021/07/01 22:30:00,1564.99,105.89,TRADE
SA1,2021/07/01 23:00:00,1464.89,58.52,TRADE
SA1,2021/07/01 23:30:00,1394.48,63.08,TRADE
SA1,2021/07/02 00:00:00,1480.16,62.28,TRADE
SA1,2021/07/02 00:30:00,1461.01,59.83,TRADE
SA1,2021/07/02 01:00:00,1404.69,60.36,TRADE
SA1,2021/07/02 01:30:00,1306.75,43.65,TRADE
SA1,2021/07/02 02:00:00,1244.23,36.65,TRADE
SA1,2021/07/02 02:30:00,1206.83,21.24,TRADE
SA1,2021/07/02 03:00:00,1154.12,30.03,TRADE
SA1,2021/07/02 03:30:00,1096.52,21.09,TRADE
SA1,2021/07/02 04:00:00,1042.17,20.10,TRADE
SA1,2021/07/02 04:30:00,1021.55,15.97,TRADE
SA1,2021/07/02 05:00:00,1052.34,22.15,TRADE
SA1,2021/07/02 05:30:00,1137.85,21.86,TRADE
SA1,2021/07/02 06:00:00,1208.87,45.55,TRADE
SA1,2021/07/02 06:30:00,1289.2,54.18,TRADE
SA1,2021/07/02 07:00:00,1408.19,60.95,TRADE
SA1,2021/07/02 07:30:00,1555.96,67.54,TRADE
SA1,2021/07/02 08:00:00,1685.53,81.08,TRADE
SA1,2021/07/02 08:30:00,1843.75,126.97,TRADE
SA1,2021/07/02 09:00:00,1901.3,111.66,TRADE
SA1,2021/07/02 09:30:00,1966.2,187.01,TRADE
SA1,2021/07/02 10:00:00,1952.14,167.42,TRADE
