REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2024/01/01 00:05:00,1293.98,54.42,TRADE
SA1,2024/01/01 00:10:00,1300.29,68.20,TRADE
SA1,2024/01/01 00:15:00,1302.81,56.17,TRADE
SA1,2024/01/01 00:20:00,1311.46,52.29,TRADE
SA1,2024/01/01 00:25:00,1302.28,51.94,TRADE
SA1,2024/01/01 00:30:00,1314.41,55.11,TRADE
SA1,2024/01/01 00:35:00,1314.63,54.38,TRADE
SA1,2024/01/01 00:40:00,1305.37,52.21,TRADE
SA1,2024/01/01 00:45:00,1338.86,52.43,TRADE
SA1,2024/01/01 00:50:00,1329.85,52.39,TRADE
SA1,2024/01/01 00:55:00,1319.27,52.15,TRADE
SA1,2024/01/01 01:00:00,1327.89,47.59,TRADE
SA1,2024/01/01 01:05:00,1316.33,39.08,TRADE
SA1,2024/01/01 01:10:00,1320.07,48.23,TRADE
SA1,2024/01/01 01:15:00,1285.21,45.91,TRADE
SA1,2024/01/01 01:20:00,1282.7,46.51,TRADE
SA1,2024/01/01 01:25:00,1274.76,46.14,TRADE
SA1,2024/01/01 01:30:00,1277.99,48.37,TRADE
SA1,2024/01/01 01:35:00,1277.25,52.86,TRADE
SA1,2024/01/01 01:40:00,1261.57,48.07,TRADE
SA1,2024/01/01 01:45:00,1248.01,38.42,TRADE
SA1,2024/01/01 01:50:00,1264.28,38.92,TRADE
SA1,2024/01/01 01:55:00,1249.49,34.40,TRADE
SA1,2024/01/01 02:00:00,1229.25,39.77,TRADE
SA1,2024/01/01 02:05:00,1207.99,41.70,TRADE
SA1,2024/01/01 02:10:00,1216.46,43.92,TRADE
SA1,2024/01/01 02:15:00,1204.28,48.36,TRADE
SA1,2024/01/01 02:20:00,1193.23,48.96,TRADE
SA1,2024/01/01 02:25:00,1185.13,47.81,TRADE
SA1,2024/01/01 02:30:00,1170.18,49.01,TRADE
SA1,2024/01/01 02:35:00,1188.41,50.92,TRADE
SA1,2024/01/01 02:40:00,1178.88,52.82,TRADE
SA1,2024/01/01 02:45:00,1167.58,52.69,TRADE
SA1,2024/01/01 02:50:00,1151.52,50.52,TRADE
SA1,2024/01/01 02:55:00,1153.94,48.66,TRADE
SA1,2024/01/01 03:00:00,1136.88,38.24,TRADE
SA1,2024/01/01 03:05:00,1133.36,43.02,TRADE
SA1,2024/01/01 03:10:00,1120.54,43.51,TRADE
SA1,2024/01/01 03:15:00,1112.64,43.79,TRADE
SA1,2024/01/01 03:20:00,1122.44,48.77,TRADE
SA1,2024/01/01 03:25:00,1118.82,44.58,TRADE
SA1,2024/01/01 03:30:00,1108.63,49.45,TRADE
SA1,2024/01/01 03:35:00,1113.89,49.82,TRADE
SA1,2024/01/01 03:40:00,1118.67,49.71,TRADE
SA1,2024/01/01 03:45:00,1102.43,43.75,TRADE
SA1,2024/01/01 03:50:00,1124.54,48.80,TRADE
SA1,2024/01/01 03:55:00,1107.12,48.39,TRADE
SA1,2024/01/01 04:00:00,1096.14,52.07,TRADE
SA1,2024/01/01 04:05:00,1108.76,48.60,TRADE
SA1,2024/01/01 04:10:00,1082.35,37.49,TRADE
SA1,2024/01/01 04:15:00,1104.98,38.23,TRADE
SA1,2024/01/01 04:20:00,1077.7,37.15,TRADE
SA1,2024/01/01 04:25:00,1085.21,43.22,TRADE
SA1,2024/01/01 04:30:00,1092.11,43.48,TRADE
SA1,2024/01/01 04:35:00,1087.57,37.48,TRADE
SA1,2024/01/01 04:40:00,1102.25,37.48,TRADE
SA1,2024/01/01 04:45:00,1098.24,35.12,TRADE
SA1,2024/01/01 04:50:00,1096.69,35.81,TRADE
SA1,2024/01/01 04:55:00,1092.77,35.80,TRADE
SA1,2024/01/01 05:00:00,1087.88,35.66,TRADE
SA1,2024/01/01 05:05:00,1119.91,39.08,TRADE
SA1,2024/01/01 05:10:00,1083.38,38.52,TRADE
SA1,2024/01/01 05:15:00,1100.95,35.43,TRADE
SA1,2024/01/01 05:20:00,1080.5,35.22,TRADE
SA1,2024/01/01 05:25:00,1070.26,34.75,TRADE
SA1,2024/01/01 05:30:00,1062.51,35.47,TRADE
SA1,2024/01/01 05:35:00,1075.19,35.49,TRADE
SA1,2024/01/01 05:40:00,1083.64,35.04,TRADE
